,video_id,video_title,upload_date,view_count,like_count,dislike_count,comment_count
0,lxuG-gFapAo,"First WWE live experience! | Brock Lesnar Returns | John Cena, Edge, and many more!  #supersmackdown",2021-09-13,189,16,0,11
1,kD3_ydvkdUM,"New York City after COVID | Times Square | SNAKE, Birds, Magic show, food, and much more! |     #nyc",2021-09-02,193,22,0,4
2,ZCrTvf_5mRM,15 secs of beautiful places I travelled. #travel #explorepage #beautifullocation #wanderlust #trend,2021-08-20,55,6,0,0
3,tHZHkRZteR0,TOP OF THE ROCK | New York City&#39;s most amazing attraction! |  #rockefellercentre #timessquare #nyc,2021-07-26,194,32,0,6
4,z8BZbwHGmzs,Liberty State Park |Riding on the streets of Jersey City|   #libertystatepark #beautifulnewyorkcity,2021-07-03,191,26,0,10
5,85ojGw-nBt0,Mayweather vs Logan Paul LIVE REACTIONS.      #mayweatherpaul #livereactions,2021-06-11,68,9,0,0
6,T5RNoWSyjW4,Eid Mubarak | First Eid in the US | Felt like home |                       #eidmubarak #eid2021,2021-06-09,176,23,0,7
7,P2g42TOxVhA,Ramadan 2021 Jersey City | My first Ramadan in America |                              #ramadankareem,2021-06-04,170,26,0,6
8,XeN2SaiHwpk,INDIA TO USA  | The NEW journey begins! |                                          #indiatousjourney,2021-05-15,420,40,0,14
9,FieHb1er2Dk,Mumbai like never before! | Skateboarding tricks | Good food |,2021-05-01,118,11,0,6
10,_wVNe-HGApQ,Biometric appointment | Sunday in Mumbai |               #bandra #biometricappointment,2021-04-27,222,25,0,12
11,zLWsjjj14iE,Tamhini Ghat The most beautiful Mountain pass in Maharashtra Bike ride,2021-04-10,97,12,0,7
12,HuK9kgD-hX4,Ajanta Ellora Caves | 2000 years old structure | 14 hours on KTM Duke 390 |,2021-03-30,93,28,0,4
13,-y9luzNb6eE,Enroute Ajanta Caves via Beautiful Malshej Ghat | 700km in a DAY!,2021-03-27,192,43,0,22
14,_y1Nv6dS3tE,M2M ferry | Gaadiyo ke saath Samandar me |,2021-03-06,80,18,0,0
15,sv9SmLs9kyc,Murud-Janjira | Janjira Fort | Bike Ride,2021-03-01,105,20,0,4
16,tD8LRqC_hbo,Aakhri din par maza double! Day-3 #panoramapoint,2021-02-24,128,18,0,8
17,Bflw6-xQQhI,Sensational Sunrise and a lot of fun | DAY-2 #Matheran |,2021-02-18,189,17,0,5
18,Tv3hRrZXrU4,Matheran Day-1 | Beautiful #hillstation in Maharashtra |,2021-02-16,294,10,0,4
19,eDwb6KzjI-M,Rajmachi fort |2 HOURS OF CHALLENGING OFFROADING|,2021-01-26,463,22,0,3
20,boEhAQxtpSE,BHIVPURI MOUNTAIN CLIMB ON DUKE 390 | Most difficult off-roading near Mumbai |,2021-01-19,726,26,3,4
21,YJmS5Lh0nEA,M2M FERRY; The cheapest and the best way to travel from Mumbai to Mandwa (Alibaug).,2020-12-19,408,36,1,3
22,BR_Mbmwo1DI,"BIRTHDAY celebration! Persian darbar, Pop tates, Dhaba and many more",2020-11-22,1811,51,4,11
23,JXGAyDk8VD4,Daman beach | India&#39;s most beautiful beach | MUMBAI-DAMAN-DAMAN 2 | BIKE RIDE |,2020-10-04,267,37,0,10
24,_0zt17FQF1w,"COASTAL ROAD (crossing border through coast)  |MUMBAI-DAMAN 1 | CHINCHANI, DAHANU BEACH | Duke 390 |",2020-10-02,984,43,0,23
25,Ch4pcV7GFiM,DHABOSA WATERFALL | CITY OF WATERFALLS | MINI MAHABALESHWAR |#JAWHAR,2020-09-19,207,39,0,17
26,jcn3Q6tTPjY,"Lonavala after lockdown  (&quot;SHORT TREK&quot;, &quot;RIDE&quot;, &quot;RAIN&quot;)",2020-09-12,415,36,2,16
27,axB0zUW8x_A,morbe dam first ride duke 390,2020-09-10,312,52,0,21
28,KXdSzDEcbfc,Duke 390 purchased (Activa se seedha duke!) #ktmduke390,2020-09-04,169,27,1,7
29,1kNn-TKXwrc,Beautiful location near Igatpuri,2020-08-31,143,30,0,4
30,QPRyAvf9sr0,Camping in 2020!!!,2020-08-28,583,190,0,18
31,b-HXct-lkJ0,Ramadan in lock down 2020,2020-08-14,176,21,0,4
32,nz9CM1brpdk,Monsoon Trek,2020-07-06,143,16,0,0
33,X-DXmLFtvN4,fun during lock down,2020-06-13,241,28,0,7
